Family,Subfamily,Tribe,Genus,Species,Subspecies,Accession#,Country,Specimen Sex,Notes
,,,Battus,belus,,09-SRNP-70593,Costa Rica,,
,,,Battus,belus,,09-SRNP-70637,Costa Rica,,
,,,Papilio,polyxenes,stabilis,09-SRNP-35369,Costa Rica,,
,,,Papilio,polyxenes,stabilis,09-SRNP-35372,Costa Rica,,
,,,Papilio,polyxenes,stabilis,09-SRNP-35371,Costa Rica,,
,,,Papilio,polyxenes,stabilis,09-SRNP-35472,Costa Rica,,
,Papilioninae,,Atrophaneura,alcinous,,SWC-09-5004,Korea,,
,Papilioninae,,Mimoides,euryleon,clusoculis,08-SRNP-35022,Costa Rica,,
,Papilioninae,,Papilio,bianor,,SWC-09-5008,Korea,,
,Papilioninae,,Papilio,machaon,,SWC-09-5005,Korea,,
,Papilioninae,,Papilio,macilentus,,SWC-09-5007,Korea,,
,Papilioninae,,Papilio,xuthus,,SWC-09-5006,Korea,,
,Papilioninae,,Protographium,epidaus,,05-SRNP-17834,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,07-SRNP-56231,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,07-SRNP-56522,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56148,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56601,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56602,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56607,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56639,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56640,Costa Rica,,
,Papilioninae,,Protographium,epidaus,,06-SRNP-56721,Costa Rica,,
,Papilioninae,,Protographium,epidaus  ,,08-SRNP-56525,Costa Rica,,
,Papilioninae,,Protographium,philolaus,,06-SRNP-56298,Costa Rica,,
,Papilioninae,,Protographium,philolaus,,06-SRNP-56603,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,ilus,branchus,07-SRNP-57208,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,ilus,branchus  ,08-SRNP-56397,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,06-srnp-03019,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,07-SRNP-32052,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,06-SRNP-2233,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,06-SRNP-3273,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,06-SRNP-35141,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,06-SRNP-40486,Costa Rica,,
,Papilioninae,Graphiini,Mimoides,euryleon,clusoculis,06-SRNP-57030,Costa Rica,,
,Papilioninae,Graphiini,Mimoides ,ilus,branchus,05-SRNP-57565,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,astyalus,,DHJ-02-2495,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,thoas,autocles,DHJ-02-2511,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,cresphontes,,06-SRNP-56161,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,cresphontes,,06-SRNP-57292,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,anchisiades ,idaeus,07-SRNP-2511,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,anchisiades ,idaeus,07-SRNP-2513,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,anchisiades ,idaeus,07-SRNP-2517,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,thoas,nealces,06-SRNP-55659,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,torquatus,,07-SRNP-33234,Costa Rica,,
,Papilioninae,Papilionini,Heraclides,torquatus,,06-SRNP-33293,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,anchisiades ,,05-srnp-06313,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,anchisiades ,,05-srnp-06320,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,astyalus,,05-srnp-57219,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,anchisiades ,idaeus,05-SRNP-63881,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,pallas,,05-SRNP-45690,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,pallas,,05-SRNP-45814,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,pallas,,05-SRNP-45927,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,pallas,,05-SRNP-45954,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,pallas,,05-SRNP-57230,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,thoas,,05-srnp-04718,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,thoas,,05-srnp-58905,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,torquatus,,05-srnp-32874,Costa Rica,,
,Papilioninae,Papilionini,Heraclides ,torquatus,,05-srnp-33346,Costa Rica,,
,Papilioninae,Papilionini,Pterourus,glaucus,,AV-92-0104,U.S.A.,,
,Papilioninae,Papilionini,Pterourus,glaucus,,AV-91-0114,U.S.A.,,
,Papilioninae,Papilionini,Pterourus,glaucus,,CWM-02-0138,U.S.A.,,
,Papilioninae,Papilionini,Pterourus,birchallii,bryki,07-SRNP-2495,Costa Rica,,
,Papilioninae,Troidini,Battus,philenor,,TPF-Bphi,U.S.A.,,
,Papilioninae,Troidini,Battus,polydamas,,05-SRNP-33204,Costa Rica,,
,Papilioninae,Troidini,Battus,polydamas,,06-SRNP-31274,Costa Rica,,
,Papilioninae,Troidini,Battus,polydamas,,06-SRNP-31277,Costa Rica,,
,Papilioninae,Troidini,Battus,polydamas,,06-SRNP-55671,Costa Rica,,
,Papilioninae,Troidini,Parides,iphidamas,,DHJ-02-2492,Costa Rica,,
,Papilioninae,Troidini,Parides,panares,lycimenes,06-SRNP-2558,Costa Rica,,
,Papilioninae,Troidini,Parides,sesostris,zestos,06-SRNP-2449,Costa Rica,,
,Papilioninae,Troidini,Parides,sesostris,zestos,06-SRNP-2451,Costa Rica,,
,Papilioninae,Troidini,Parides ,iphidamas,,05-srnp-42405,Costa Rica,,
,Papilioninae,Troidini,Parides ,iphidamas,,05-srnp-63424,Costa Rica,,
,Papilioninae,Troidini,Parides ,iphidamas,,05-srnp-63425,Costa Rica,,
,Papilioninae,Troidini,Parides ,iphidamas,,05-srnp-65167,Costa Rica,,
,Papilioninae,Troidini,Parides ,iphidamas,,05-SRNP-34929,Costa Rica,,
,Papilioninae,Troidini,Parides ,panares,lycimenes,05-srnp-47282,Costa Rica,,
,Papilioninae,Troidini,Parides ,panares,lycimenes,05-srnp-47283,Costa Rica,,
,Parnassiinae,,Luehdorfia,puziloi,,SWC-09-5001,Korea,,
,Parnassiinae,,Parnassius,stubbendorfii,,SWC-09-5002,Korea,,
,Parnassiinae,,Sericinus,montela,,SWC-09-5003,Korea,,
,Parnassiinae,Parnassiini,Parnassius,apollo,,JBA-06-0019,Spain,,
,Parnassiinae,Parnassiini,Parnassius,apollo,,JBA-06-0020,Spain,,
